Name,Team,Position,WAR,G,PA,AB,RUN,HIT,2B,3B,HR,TB,RBI,BB,HBP,IB,SO,DP,SAC,SAC2,BA,OBP,SLG,OPS,wOBA,wRCP,WPA,IsoP,IsoD,wRC27,wRAA,RAABat,RAAdef,RAADefPos,RAAdeftotal,RAA.Adj,Advancedbase,Runper,Advancedpossibility,Outonbase,SB,CS,RAASB,RAABR,Spd
ÀÌ¼º¿­,ÇÑ,DH,-0.27,46,140,119,15,25,8,0,2,39,20,18,1,0,36,2,0,2,0.21,0.314,0.328,0.642,0.308,79,0.32,0.118,0.104,3.71,0.309,-3.7,0.5,-3.5,-3.1,-4.5,0.037735849,24.5,43.3,10,1,0,0.2,-1.5,3
ÀÌ¿µºó,L,1B,0.27,72,169,148,21,36,9,0,2,51,16,15,3,0,51,1,2,1,0.243,0.323,0.345,0.668,0.316,86.6,0.22,0.101,0.08,3.93,0.321,-2.8,-0.5,-1.5,-2,-3.4,0.032258065,30.7,54.1,5.41,6,3,-0.2,0.1,4.6
ÀÌ¿ë±Ô,Å°,LF,3.1,133,547,459,88,136,16,8,1,171,43,71,5,2,46,5,6,6,0.296,0.392,0.373,0.764,0.363,112.7,1.73,0.076,0.096,6.08,0.36,8.4,-6.3,-4.9,-11.2,7,0.02892562,36,52,2.03,16,2,2.1,2.8,7.3
ÀÌ¿ì¼º,K,LF,-0.35,65,100,85,12,17,5,0,0,22,4,13,0,0,17,2,1,1,0.2,0.303,0.259,0.562,0.277,56.7,-0.38,0.059,0.103,2.63,0.276,-5.4,0.4,-1.3,-0.9,-5.9,0.018867925,22.6,53.8,11.54,2,1,-0.1,-0.9,3.8
ÀÌ¿ø¼®,»ï,3B,1.22,131,480,399,40,92,19,0,9,138,59,60,11,2,80,11,2,8,0.231,0.341,0.346,0.687,0.327,89.8,-0.29,0.115,0.11,4.41,0.325,-6.2,-2.6,-0.4,-3.1,-10,0.023391813,18.1,29.4,2.35,1,0,0.1,-1.3,1.9
ÀÌ¿ø¼®,ÇÑ,CF,-0.71,43,130,114,12,20,1,1,1,26,9,8,2,0,43,1,4,2,0.175,0.238,0.228,0.466,0.221,22,-1.37,0.053,0.063,0.86,0.223,-12.5,-3.1,0.5,-2.6,-15.9,0.131578947,29,66.7,13.33,4,2,-0.1,-0.2,6.4
ÀÌ¿øÀç,N,1B,-0.36,31,69,65,3,15,2,0,0,17,7,1,1,0,11,1,1,1,0.231,0.25,0.262,0.512,0.241,34.8,-0.56,0.031,0.019,1.45,0.243,-5.6,-1.6,-1.2,-2.9,-6.8,0,13.6,25,0,1,0,0.2,0.2,2.7
ÀÌÀç¿ø,L,RF,0.25,62,171,154,22,38,6,0,5,59,17,14,2,0,48,2,0,1,0.247,0.316,0.383,0.699,0.327,96.4,-0.6,0.136,0.069,4.31,0.335,-0.8,4,-1.9,2.2,1.3,0.032258065,27.4,45.5,15.15,5,1,0.5,-2.4,4.3
ÀÌÀç¿ø,S,C,1.5,107,313,271,29,76,13,0,3,98,30,29,5,4,47,14,6,2,0.28,0.358,0.362,0.72,0.334,95.2,0.18,0.081,0.078,4.53,0.333,-2,-0.5,5.8,5.2,-4.3,0.026315789,22.8,21.9,3.13,0,2,-1,-0.9,1.1
ÀÌÁ¤¹ü,S,LF,0.36,19,66,59,8,15,4,0,3,28,9,7,0,0,15,1,0,0,0.254,0.333,0.475,0.808,0.368,115.6,-0.13,0.22,0.079,5.76,0.364,1.2,-0.6,-0.7,-1.2,1,0,20,50,0,0,0,0,0.3,2
ÀÌÁ¤ÈÄ,Å°,CF,6.73,123,543,463,78,167,42,6,7,242,84,62,9,1,37,8,0,9,0.361,0.438,0.523,0.961,0.441,165.8,3.17,0.162,0.078,9.52,0.44,43.7,1.2,0.8,2,46.5,0.039215686,27.8,43.3,1.42,10,3,0.5,1.1,5.7
ÀÌÁ¤ÈÆ,K,DH,0.14,41,151,129,14,32,6,0,2,44,14,19,3,0,33,3,0,0,0.248,0.358,0.341,0.699,0.34,98.9,-0.52,0.093,0.11,5,0.339,-0.3,-0.6,-3.3,-3.9,-2.1,0.036363636,21.8,26.8,4.88,0,0,0,-1.2,1.7
ÀÌÁö¿µ,Å°,C,0.33,108,257,232,29,63,5,1,0,70,30,19,1,2,17,10,2,3,0.272,0.326,0.302,0.627,0.299,71.1,-0.87,0.03,0.054,3.33,0.297,-9.2,0.5,3.9,4.4,-10.8,0.019230769,27.9,35.8,4.48,3,1,0.1,-2.2,3.5
ÀÌÃ¢Áø,K,CF,-0.19,105,293,249,35,52,8,1,3,71,33,36,1,0,54,10,4,3,0.209,0.308,0.285,0.593,0.287,63.8,-1.06,0.076,0.099,2.92,0.286,-13.1,1,0.4,1.5,-13.4,0.036697248,29.4,35.2,5.63,5,0,0.9,-2.2,4.1
ÀÌÃµ¿õ,L,CF,0.03,68,211,181,20,36,7,0,2,49,16,25,3,0,23,11,1,1,0.199,0.305,0.271,0.576,0.284,65.2,-0.82,0.072,0.106,2.74,0.288,-9.1,1,-0.3,0.7,-7.2,0.013888889,25,57.1,0,3,2,-0.3,1.2,2.2
ÀÌÇÐÁÖ,»ï,SS,-0.04,66,174,155,17,32,8,0,4,52,20,14,1,0,61,3,4,0,0.206,0.277,0.335,0.612,0.282,60.5,-0.39,0.129,0.07,2.67,0.281,-8.5,-3.7,2.1,-1.6,-13.3,0.035714286,23.2,33.3,6.67,2,2,-0.5,-0.6,2.9
ÀÌÇØÃ¢,ÇÑ,C,-0.41,20,60,54,4,9,3,0,0,12,4,1,1,0,13,0,3,1,0.167,0.193,0.222,0.415,0.187,-1.2,-0.85,0.056,0.026,-0.08,0.189,-7.5,-0.1,1.2,1.2,-7.8,0.071428571,28.6,60,0,0,1,-0.4,0.2,4
ÀÌÇö¼®,S,C,0.39,39,89,79,7,21,5,0,4,38,19,4,1,0,29,0,3,2,0.266,0.302,0.481,0.783,0.338,95.1,-0.14,0.215,0.037,4.6,0.333,-0.6,0.9,1.9,2.8,-0.8,0.038461538,11.5,10,20,0,0,0,-1.1,2.1
ÀÌÇüÁ¾,L,DH,0.93,90,281,239,32,52,11,0,10,93,34,34,7,1,65,10,1,0,0.218,0.332,0.389,0.721,0.338,104.8,-2.58,0.172,0.115,4.6,0.348,1.6,-1.5,-4.4,-5.9,0.5,0.01980198,21.8,47.7,4.55,3,1,0.1,0.3,2.1
ÀÌÈ«±¸,K,C,-0.43,37,58,55,4,9,0,0,1,12,7,2,0,1,28,4,0,1,0.164,0.19,0.218,0.408,0.184,-6.2,-0.48,0.055,0.026,-0.17,0.181,-7.6,0.3,1.2,1.5,-7.5,0.181818182,27.3,25,0,0,0,0,-0.2,1.1
ÀÌÈï·Ã,S,C,0.6,90,146,127,15,30,3,0,3,42,14,12,5,0,31,4,2,0,0.236,0.326,0.331,0.657,0.314,80.7,-0.02,0.095,0.09,3.87,0.312,-3.5,0.2,3.2,3.4,-3,0.075471698,22.6,36.4,0,0,0,0,0.3,1.5
ÀÓÁ¾Âù,ÇÑ,RF,-1.06,42,146,132,9,20,5,0,1,28,8,12,1,0,49,2,1,0,0.152,0.228,0.212,0.44,0.217,18.7,-1.09,0.061,0.076,0.75,0.218,-14.7,-4.4,-1.7,-6.1,-19.2,0.085714286,22.9,52.9,5.88,0,1,-0.5,0.4,2.4
Àå¼º¿ì,K,C,1.74,127,460,385,46,89,13,0,14,144,63,60,3,3,69,16,9,3,0.231,0.337,0.374,0.711,0.328,90.6,1.25,0.143,0.106,4.28,0.327,-5.5,-1,5.8,4.7,-8.6,0.012345679,19.8,31.7,3.66,1,2,-0.8,-1.2,1.3
Àå½ÂÇö,µÎ,C,0.57,92,211,177,18,41,10,0,2,57,27,19,8,0,50,2,6,1,0.232,0.332,0.322,0.654,0.31,82.3,-0.4,0.09,0.1,3.83,0.314,-4.7,1.5,4.3,5.8,-5.9,0.025316456,20.3,22,8,0,0,-0.1,-2.7,2.2
Àå¿îÈ£,ÇÑ,RF,-0.3,102,338,285,36,67,10,0,0,77,28,36,7,0,77,7,7,3,0.235,0.332,0.27,0.603,0.295,71,-1.65,0.035,0.097,3.25,0.297,-12.2,0.2,-2.6,-2.4,-14.2,0.069767442,27.9,40.3,5.97,3,6,-2.1,0,2.8
